Date,ProductId,Profit,Sales,Margin,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,Area Code
1/1/2010,6,45,114,68,46,23,12,777,60,50,80,130,660
1/1/2010,8,-11,90,53,37,64,34,261,0,30,40,70,573
1/1/2010,9,-39,99,11,88,50,27,525,-20,70,10,80,314
1/1/2010,11,9,82,47,35,38,11,196,10,30,40,70,314
1/1/2010,12,-9,65,36,29,45,11,169,-10,20,30,50,573
1/1/2010,1,34,140,80,60,46,19,336,50,60,80,140,740
1/1/2010,2,42,140,83,57,41,18,364,50,60,80,140,614
1/1/2010,3,0,150,87,63,87,57,435,20,60,90,150,614
1/1/2010,12,67,200,116,84,49,26,500,60,70,100,170,216
1/1/2010,6,16,130,72,58,56,22,338,40,60,90,150,614
1/1/2010,5,99,341,171,170,72,47,1091,140,190,210,400,614
1/1/2010,8,29,80,48,32,19,8,456,50,20,50,70,937
1/1/2010,9,29,80,48,32,19,8,821,50,20,50,70,740
1/1/2010,11,68,210,126,84,58,27,651,60,70,110,180,567
1/1/2010,1,13,120,66,54,53,20,312,30,50,70,120,262
1/1/2010,2,9,190,111,79,102,72,551,20,80,110,190,262
1/1/2010,3,51,180,103,77,52,25,432,60,80,100,180,414
1/1/2010,12,7,180,105,75,98,68,522,10,60,90,150,262
1/1/2010,6,34,110,62,48,28,15,623,50,50,70,120,262
1/1/2010,5,38,150,81,69,43,21,965,50,80,90,170,414
1/1/2010,8,70,180,113,67,43,20,400,80,50,100,150,715
1/1/2010,9,28,81,48,33,20,9,777,50,20,50,70,715
1/1/2010,11,47,150,89,61,42,19,390,50,50,80,130,608
1/1/2010,11,47,123,73,50,26,14,821,60,50,80,130,475
1/1/2010,13,35,94,56,38,21,10,777,40,40,60,100,475
1/1/2010,6,30,130,75,55,45,18,312,40,50,70,120,475
1/1/2010,5,7,180,105,75,98,68,522,20,70,100,170,860
1/1/2010,2,115,310,186,124,71,40,961,130,110,180,290,475
1/1/2010,9,40,190,105,85,65,32,494,40,60,80,140,860
1/1/2010,10,47,170,92,78,45,24,965,50,50,80,130,475
1/1/2010,11,28,80,48,32,20,8,821,40,30,50,80,954
1/1/2010,13,28,81,48,33,20,9,777,40,30,50,80,754
1/1/2010,6,50,180,103,77,53,25,432,60,70,100,170,754
1/1/2010,5,9,190,111,79,102,72,551,30,70,110,180,239
1/1/2010,3,67,200,116,84,49,26,500,70,80,110,190,754
1/1/2010,2,68,210,126,84,58,27,651,70,80,110,190,954
1/1/2010,8,34,110,62,48,28,15,623,30,30,50,80,863
1/1/2010,9,13,120,66,54,53,20,312,20,40,50,90,239
1/1/2010,10,39,150,81,69,42,21,965,40,50,60,110,772
1/1/2010,11,29,80,48,32,19,8,821,40,30,50,80,508
1/1/2010,13,29,80,48,32,19,8,456,40,30,50,80,781
1/1/2010,7,100,341,171,170,71,47,1091,110,160,170,330,978
1/1/2010,5,-23,126,63,63,86,57,435,-10,60,60,120,781
1/1/2010,2,367,494,422,72,55,23,558,360,60,400,460,413
1/1/2010,9,17,130,72,58,55,22,338,30,40,60,100,339
1/1/2010,11,10,45,27,18,17,5,821,20,10,30,40,603
1/1/2010,13,11,43,26,17,15,4,777,20,10,30,40,603
1/1/2010,7,-8,65,36,29,44,11,169,0,20,40,60,603
1/1/2010,5,-10,90,53,37,63,34,261,0,30,50,80,603
1/1/2010,1,20,93,55,38,35,12,241,30,30,50,80,603
1/1/2010,2,25,120,72,48,47,15,372,40,40,70,110,603
1/1/2010,9,-4,76,42,34,46,12,197,0,20,30,50,603
1/1/2010,11,101,234,139,95,38,26,821,120,100,150,250,347
1/1/2010,12,94,219,130,89,36,24,777,110,90,140,230,646
1/1/2010,13,54,134,80,54,26,15,456,70,50,90,140,347
1/1/2010,7,175,490,262,228,87,63,1459,200,210,270,480,631
1/1/2010,5,-172,61,-44,105,128,95,725,-170,100,-50,50,315
1/1/2010,2,262,678,407,271,145,94,2101,260,260,380,640,716
1/1/2010,9,111,483,238,245,127,93,1419,100,180,190,370,607
1/1/2010,10,-113,180,-27,207,86,64,965,-70,150,-10,140,845
1/1/2010,5,70,180,113,67,43,20,400,80,50,100,150,337
1/1/2010,6,48,150,89,61,41,19,390,50,50,70,120,337
1/1/2010,8,35,112,63,49,28,16,623,40,40,60,100,337
1/1/2010,9,40,190,105,85,65,32,494,40,80,100,180,504
1/1/2010,4,8,180,105,75,97,68,522,10,60,90,150,504
1/1/2010,2,30,85,51,34,21,9,777,50,40,60,100,225
1/1/2010,3,28,81,48,33,20,9,777,50,40,60,100,985
1/1/2010,5,-10,90,53,37,63,34,261,-10,30,40,70,505
1/1/2010,6,9,82,47,35,38,11,196,10,30,40,70,505
1/1/2010,8,11,45,27,18,16,5,821,20,10,30,40,505
1/1/2010,9,4,62,34,28,30,8,965,20,20,40,60,505
1/1/2010,4,-8,65,36,29,44,11,169,0,20,30,50,505
1/1/2010,2,26,120,72,48,46,15,372,50,60,90,150,505
1/1/2010,3,-39,99,11,88,50,27,525,-30,110,10,120,505
1/1/2010,5,28,80,48,32,20,8,456,40,20,40,60,405
1/1/2010,6,67,210,126,84,59,27,651,70,70,110,180,405
1/1/2010,8,13,120,66,54,53,20,312,20,50,60,110,918
1/1/2010,9,10,190,111,79,101,72,551,30,70,110,180,580
1/1/2010,4,66,200,116,84,50,26,500,70,70,100,170,405
1/1/2010,2,29,100,56,44,27,14,623,50,50,70,120,580
1/1/2010,3,28,80,48,32,20,8,821,50,40,60,100,580
1/1/2010,5,95,219,130,89,35,24,777,90,70,110,180,325
1/1/2010,6,54,134,80,54,26,15,456,60,40,70,110,956
1/1/2010,8,33,140,80,60,47,19,336,50,50,80,130,281
1/1/2010,9,42,140,83,57,41,18,364,50,50,80,130,254
1/1/2010,4,53,180,108,72,55,23,558,50,60,90,150,830
1/1/2010,2,159,452,245,207,86,64,965,220,260,300,560,409
1/1/2010,3,68,190,107,83,39,27,623,100,100,130,230,325
1/1/2010,4,44,114,68,46,24,12,777,40,40,60,100,435
1/1/2010,5,34,112,63,49,29,16,623,40,40,60,100,435
1/1/2010,6,47,123,73,50,26,14,821,50,40,70,110,435
1/1/2010,8,21,93,55,38,34,12,241,30,30,50,80,801
1/1/2010,9,25,120,72,48,47,15,372,30,40,60,100,435
1/1/2010,10,-40,99,11,88,51,27,525,-30,70,10,80,435
1/1/2010,11,-10,90,53,37,63,34,261,0,20,40,60,435
1/1/2010,12,9,82,47,35,38,11,196,10,20,30,50,435
1/1/2010,13,-9,65,36,29,45,11,169,10,10,30,40,435
1/1/2010,1,47,170,92,78,45,24,965,80,90,120,210,801
1/1/2010,2,30,130,75,55,45,18,312,70,60,100,160,435
1/1/2010,3,39,190,105,85,66,32,494,70,100,130,230,801
1/1/2010,4,140,456,228,228,88,63,1459,150,210,220,430,661
1/1/2010,5,17,250,145,105,128,95,725,20,100,140,240,818
1/1/2010,6,203,546,312,234,109,77,1310,200,220,300,520,213
1/1/2010,8,102,234,139,95,37,26,821,100,80,120,200,510
1/1/2010,9,160,452,245,207,85,64,965,160,170,220,390,310
1/1/2010,10,67,190,107,83,40,27,623,60,70,90,160,707
1/1/2010,11,94,219,130,89,36,24,777,80,50,90,140,619
1/1/2010,12,54,134,80,54,26,15,456,60,30,60,90,650
1/1/2010,13,54,180,108,72,54,23,558,50,40,80,120,760
1/1/2010,1,-2,145,50,95,52,30,608,30,110,70,180,916
1/1/2010,2,262,678,407,271,145,94,2101,370,340,500,840,559
1/1/2010,3,-117,118,-26,144,91,47,862,-120,180,-40,140,650
1/1/2010,4,11,43,26,17,15,4,777,20,10,30,40,775
1/1/2010,5,10,45,27,18,17,5,821,20,10,30,40,702
1/1/2010,6,11,43,26,17,15,4,777,20,10,30,40,775
1/1/2010,3,4,62,34,28,30,8,965,20,30,40,70,775
1/1/2010,8,16,250,145,105,129,95,725,30,90,130,220,702
1/1/2010,9,111,345,201,144,90,47,862,120,120,180,300,775
1/1/2010,10,86,234,139,95,53,30,608,90,80,120,200,702
1/1/2010,11,203,546,312,234,109,77,1310,150,150,220,370,775
1/1/2010,12,141,456,228,228,87,63,1459,100,150,160,310,775
1/1/2010,13,-354,17,-245,245,126,93,1419,-240,160,-160,0,702
1/1/2010,2,-3,76,42,34,45,12,197,10,40,50,90,702
1/1/2010,4,16,130,72,58,56,22,338,20,50,70,120,503
1/1/2010,5,33,140,80,60,47,19,336,50,50,80,130,503
1/1/2010,6,99,341,171,170,72,47,1091,100,160,160,320,971
1/1/2010,3,42,140,83,57,41,18,364,70,70,100,170,971
1/1/2010,8,33,90,54,36,21,10,777,40,30,40,70,971
1/1/2010,9,29,100,56,44,27,14,623,30,30,50,80,503
1/1/2010,11,28,80,48,32,20,8,456,30,20,30,50,971
1/1/2010,12,68,210,126,84,58,27,651,60,50,90,140,503
1/1/2010,13,67,200,116,84,49,26,500,50,50,80,130,541
1/1/2010,1,1,150,87,63,86,57,435,40,70,110,180,541
1/1/2010,2,28,160,93,67,65,22,400,60,80,120,200,503
1/1/2010,4,35,110,62,48,27,15,623,40,40,60,100,425
1/1/2010,5,13,120,66,54,53,20,312,20,50,60,110,253
1/1/2010,6,39,150,81,69,42,21,965,60,60,80,140,206
1/1/2010,3,9,190,111,79,102,72,551,60,90,140,230,509
1/1/2010,8,115,310,186,124,71,40,961,120,100,170,270,206
1/1/2010,9,30,85,51,34,21,9,777,50,20,50,70,360
1/1/2010,11,70,180,113,67,43,20,400,50,40,80,120,360
1/1/2010,12,48,150,89,61,41,19,390,40,40,60,100,253
1/1/2010,13,8,180,105,75,97,68,522,20,40,80,120,360
1/1/2010,2,38,130,77,53,39,16,338,70,60,100,160,206
2/1/2010,1,105,243,144,99,39,27,766,120,100,150,250,303
2/1/2010,2,68,190,107,83,39,27,613,80,80,110,190,720
2/1/2010,3,99,232,137,95,38,26,809,110,100,140,240,719
2/1/2010,13,30,100,56,44,26,14,618,30,30,50,80,970
2/1/2010,5,80,189,112,77,32,21,449,110,80,140,220,970
2/1/2010,6,59,189,114,75,55,24,549,90,80,140,220,303
2/1/2010,8,99,340,170,170,71,47,1073,100,140,150,290,970
2/1/2010,9,-3,129,75,54,78,49,427,10,40,70,110,970
2/1/2010,10,33,140,80,60,47,19,329,40,50,70,120,303
2/1/2010,11,18,132,73,59,55,22,331,10,50,60,110,719
2/1/2010,12,34,136,74,62,40,19,958,30,50,60,110,720
2/1/2010,2,115,354,206,148,91,48,844,140,150,220,370,312
2/1/2010,3,95,254,150,104,55,33,596,100,110,150,260,847
2/1/2010,5,201,545,311,234,110,77,1282,260,270,370,640,708
2/1/2010,6,142,457,229,228,87,63,1436,180,260,270,530,312
2/1/2010,8,105,243,144,99,39,27,766,110,80,130,210,815
2/1/2010,9,68,190,107,83,39,27,613,60,70,90,160,773
2/1/2010,10,99,232,137,95,38,26,809,100,80,120,200,847
2/1/2010,11,79,189,112,77,33,21,449,80,60,100,160,309
2/1/2010,12,59,189,114,75,55,24,549,50,60,100,160,630
2/1/2010,1,10,45,27,18,17,5,818,20,10,30,40,712
2/1/2010,2,6,63,35,28,29,8,961,20,20,40,60,319
2/1/2010,3,12,54,31,23,19,7,620,20,20,30,50,712
2/1/2010,5,11,47,28,19,17,5,774,20,20,30,50,319
2/1/2010,6,32,43,43,0,11,0,774,40,0,50,50,712
2/1/2010,8,201,545,311,234,110,77,1282,190,200,270,470,563
2/1/2010,9,95,254,150,104,55,33,596,110,80,140,220,563
2/1/2010,11,141,457,229,228,88,63,1436,140,190,210,400,563
2/1/2010,12,169,534,294,240,125,91,1391,150,200,260,460,515
2/1/2010,2,42,193,107,86,65,32,484,50,90,110,200,314
2/1/2010,3,46,165,90,75,44,23,956,60,70,100,170,816
2/1/2010,13,-4,74,41,33,45,12,193,0,20,40,60,573
2/1/2010,5,48,123,73,50,25,14,814,70,50,90,140,573
2/1/2010,6,38,103,61,42,23,11,771,60,40,80,120,573
2/1/2010,8,-8,104,61,43,69,39,256,10,30,60,90,636
2/1/2010,9,-32,102,18,84,50,26,625,-20,70,10,80,417
2/1/2010,11,9,82,47,35,38,11,191,10,30,40,70,816
2/1/2010,12,-7,68,38,30,45,11,165,-10,20,30,50,314
2/1/2010,1,33,140,80,60,47,19,329,50,60,80,140,937
2/1/2010,2,38,128,76,52,38,16,357,50,50,80,130,513
2/1/2010,3,-3,129,75,54,78,49,427,20,50,80,130,614
2/1/2010,11,62,200,120,80,58,26,640,60,60,110,170,614
2/1/2010,12,71,206,120,86,49,26,490,70,70,110,180,513
2/1/2010,6,18,132,73,59,55,22,331,40,60,90,150,614
2/1/2010,5,98,340,170,170,72,47,1073,140,190,210,400,234
2/1/2010,8,17,56,34,22,17,6,452,30,10,30,40,330
2/1/2010,9,28,80,48,32,20,8,817,50,20,50,70,740
2/1/2010,1,12,118,65,53,53,20,306,30,50,70,120,262
2/1/2010,2,15,220,128,92,113,83,541,40,90,140,230,920
2/1/2010,3,50,180,103,77,53,25,423,60,80,100,180,414
2/1/2010,11,41,137,81,56,40,17,382,50,40,80,120,920
2/1/2010,12,3,155,90,65,87,58,513,10,50,80,130,414
2/1/2010,6,35,110,62,48,27,15,617,50,50,70,120,715
2/1/2010,5,42,154,84,70,42,21,957,60,80,100,180,414
2/1/2010,8,66,174,109,65,43,20,372,80,50,100,150,715
2/1/2010,9,43,115,68,47,25,13,772,50,40,60,100,262
2/1/2010,11,48,123,73,50,25,14,814,60,50,80,130,475
2/1/2010,13,21,66,39,27,18,7,772,40,20,50,70,475
2/1/2010,6,29,130,75,55,46,18,305,40,50,70,120,203
2/1/2010,5,3,155,90,65,87,58,513,20,60,90,150,860
2/1/2010,2,121,325,195,130,74,42,945,130,120,180,300,959
2/1/2010,9,41,193,107,86,66,32,484,50,60,90,150,475
2/1/2010,10,46,165,90,75,44,23,956,50,50,70,120,860
2/1/2010,11,28,80,48,32,20,8,817,40,30,50,80,786
2/1/2010,13,44,115,68,47,24,13,772,60,40,80,120,727
2/1/2010,6,51,180,103,77,52,25,423,60,70,100,170,407
2/1/2010,5,16,220,128,92,112,83,541,40,80,130,210,305
2/1/2010,3,71,206,120,86,49,26,490,70,80,110,190,305
2/1/2010,2,63,200,120,80,57,26,640,80,70,120,190,754
2/1/2010,8,34,110,62,48,28,15,617,30,30,50,80,754
2/1/2010,9,12,118,65,53,53,20,306,20,40,50,90,727
2/1/2010,10,42,154,84,70,42,21,957,50,50,70,120,850
2/1/2010,11,28,80,48,32,20,8,817,40,30,50,80,978
2/1/2010,13,17,56,34,22,17,6,452,30,20,40,60,978
2/1/2010,7,99,340,170,170,71,47,1073,110,160,170,330,508
2/1/2010,5,-4,128,74,54,78,49,451,10,50,70,120,508
2/1/2010,2,340,470,395,75,55,24,235,330,70,370,440,774
2/1/2010,9,18,132,73,59,55,22,331,30,40,60,100,781
2/1/2010,11,11,45,27,18,16,5,818,20,10,30,40,603
2/1/2010,13,32,43,43,0,11,0,774,30,0,40,40,603
2/1/2010,7,-6,68,38,30,44,11,165,0,20,40,60,603
2/1/2010,5,-7,104,61,43,68,39,256,10,40,60,100,603
2/1/2010,1,25,101,60,41,35,13,236,40,30,60,90,603
2/1/2010,2,23,114,69,45,46,14,366,30,40,60,100,603
2/1/2010,9,-4,74,41,33,45,12,193,0,20,30,50,603
2/1/2010,11,100,232,137,95,37,26,809,120,100,150,250,631
2/1/2010,12,105,243,144,99,39,27,766,130,100,160,260,518
2/1/2010,13,79,189,112,77,33,21,449,90,80,120,200,845
2/1/2010,7,264,580,352,228,88,63,1402,280,210,350,560,585
2/1/2010,5,-203,61,-60,121,143,110,901,-190,110,-60,50,585
2/1/2010,2,245,645,387,258,142,90,2067,250,240,370,610,917
2/1/2010,9,131,495,255,240,124,91,1454,110,180,200,380,518
2/1/2010,10,-120,180,-33,213,87,66,1214,-80,160,-20,140,607
2/1/2010,5,65,174,109,65,44,20,372,70,50,90,140,504
2/1/2010,6,41,137,81,56,40,17,382,50,40,70,110,985
2/1/2010,8,35,112,63,49,28,16,617,40,40,60,100,337
2/1/2010,9,42,193,107,86,65,32,484,40,80,100,180,225
2/1/2010,4,2,155,90,65,88,58,342,10,50,80,130,318
2/1/2010,2,34,94,56,38,22,10,772,60,40,70,110,337
2/1/2010,3,44,115,68,47,24,13,772,70,50,90,140,504
2/1/2010,5,-7,104,61,43,68,39,256,0,30,50,80,505
2/1/2010,6,8,82,47,35,39,11,191,10,30,40,70,505
2/1/2010,8,10,45,27,18,17,5,818,20,10,30,40,505
2/1/2010,9,5,63,35,28,30,8,961,20,20,40,60,505
2/1/2010,4,-7,68,38,30,45,11,104,0,20,30,50,505
2/1/2010,2,24,114,69,45,45,14,366,50,50,90,140,505
2/1/2010,3,-31,102,18,84,49,26,625,-20,100,20,120,505
2/1/2010,4,70,206,120,86,50,26,300,70,70,100,170,405
2/1/2010,5,17,56,34,22,17,6,452,30,10,30,40,918
2/1/2010,6,63,200,120,80,57,26,640,70,60,110,170,405
2/1/2010,8,11,118,65,53,54,20,306,20,50,60,110,918
2/1/2010,9,15,220,128,92,113,83,541,40,80,130,210,405
2/1/2010,2,29,100,56,44,27,14,618,50,50,70,120,918
2/1/2010,3,29,80,48,32,19,8,817,50,40,60,100,405
2/1/2010,4,58,189,114,75,56,24,378,60,60,100,160,512
2/1/2010,5,106,243,144,99,38,27,766,100,80,120,200,903
2/1/2010,6,80,189,112,77,32,21,449,90,60,100,160,956
2/1/2010,8,33,140,80,60,47,19,329,50,50,80,130,214
2/1/2010,9,38,128,76,52,38,16,357,50,40,80,120,432
2/1/2010,2,164,465,252,213,88,66,942,240,260,320,580,972
2/1/2010,3,68,190,107,83,39,27,613,100,100,130,230,432
2/1/2010,4,38,103,61,42,23,11,771,30,40,50,90,435
2/1/2010,5,35,112,63,49,28,16,617,40,40,60,100,801
2/1/2010,6,48,123,73,50,25,14,814,50,40,70,110,435
2/1/2010,8,24,101,60,41,36,13,236,30,30,50,80,435
2/1/2010,9,24,114,69,45,45,14,366,40,30,70,100,435
2/1/2010,10,-31,102,18,84,49,26,625,-30,70,10,80,435
2/1/2010,11,-7,104,61,43,68,39,256,10,20,50,70,435
2/1/2010,12,9,82,47,35,38,11,191,10,20,30,50,435
2/1/2010,13,-6,68,38,30,44,11,165,10,10,30,40,435
2/1/2010,1,46,165,90,75,44,23,956,70,90,110,200,435
2/1/2010,2,30,130,75,55,45,18,305,70,60,100,160,435
2/1/2010,3,41,193,107,86,66,32,484,80,100,140,240,435
2/1/2010,4,142,457,229,228,87,63,1436,150,210,220,430,831
2/1/2010,5,26,290,169,121,143,110,712,30,110,160,270,916
2/1/2010,6,202,545,311,234,109,77,1282,200,220,300,520,951
2/1/2010,8,100,232,137,95,37,26,809,100,80,120,200,949
2/1/2010,9,164,465,252,213,88,66,942,160,180,220,400,714
2/1/2010,10,68,190,107,83,39,27,613,60,70,90,160,530
2/1/2010,11,106,243,144,99,38,27,766,90,60,100,160,626
2/1/2010,12,80,189,112,77,32,21,449,60,50,70,120,858
2/1/2010,13,58,189,114,75,56,24,549,50,40,80,120,858
2/1/2010,1,-27,132,28,104,55,33,685,-20,130,30,160,909
2/1/2010,2,245,645,387,258,142,90,2067,360,320,480,800,415
2/1/2010,3,-117,122,-26,148,91,48,1071,-110,180,-30,150,818
2/1/2010,4,31,43,43,0,12,0,774,30,0,40,40,702
2/1/2010,5,10,45,27,18,17,5,818,20,10,30,40,775
2/1/2010,6,11,47,28,19,17,5,774,20,10,30,40,775
2/1/2010,3,6,63,35,28,29,8,961,20,30,40,70,702
2/1/2010,8,26,290,169,121,143,110,712,40,100,150,250,775
2/1/2010,9,115,354,206,148,91,48,844,120,120,190,310,775
2/1/2010,10,94,254,150,104,56,33,596,110,80,140,220,702
2/1/2010,11,202,545,311,234,109,77,1282,150,150,220,370,775
2/1/2010,12,142,457,229,228,87,63,1436,100,150,160,310,702
2/1/2010,13,-342,23,-240,240,125,91,1937,-220,150,-150,0,702
2/1/2010,2,-5,74,41,33,46,12,193,10,40,50,90,775
2/1/2010,4,18,132,73,59,55,22,331,20,50,70,120,503
2/1/2010,5,33,140,80,60,47,19,329,50,50,80,130,541
2/1/2010,6,99,340,170,170,71,47,1073,100,160,160,320,971
2/1/2010,3,38,128,76,52,38,16,357,70,60,100,160,971
2/1/2010,8,28,81,48,33,20,9,772,50,20,50,70,971
2/1/2010,9,30,100,56,44,26,14,618,30,30,50,80,541
2/1/2010,11,17,56,34,22,17,6,452,20,10,20,30,541
2/1/2010,12,62,200,120,80,58,26,640,50,50,80,130,971
2/1/2010,13,71,206,120,86,49,26,490,60,50,90,140,503
2/1/2010,1,-4,129,75,54,79,49,427,40,60,100,160,971
2/1/2010,2,25,155,90,65,65,21,392,50,80,110,190,503
2/1/2010,4,35,110,62,48,27,15,617,40,40,60,100,360
2/1/2010,5,12,118,65,53,53,20,306,20,50,60,110,253
2/1/2010,6,41,154,84,70,43,21,957,60,60,80,140,509
2/1/2010,3,15,220,128,92,113,83,541,60,110,160,270,206
2/1/2010,8,121,325,195,130,74,42,945,120,110,170,280,206
2/1/2010,9,34,94,56,38,22,10,772,50,30,50,80,509
2/1/2010,11,66,174,109,65,43,20,372,40,40,70,110,360
2/1/2010,12,41,137,81,56,40,17,382,40,30,60,90,206
2/1/2010,13,3,155,90,65,87,58,513,10,40,60,100,253
2/1/2010,2,44,142,84,58,40,18,331,70,70,100,170,509
3/1/2010,1,90,213,126,87,36,24,756,100,90,130,220,720
3/1/2010,2,69,193,109,84,40,27,603,90,80,120,200,970
3/1/2010,3,101,234,139,95,38,26,799,110,100,140,240,720
3/1/2010,13,29,98,55,43,26,14,613,30,30,50,80,720
3/1/2010,5,84,198,117,81,33,22,441,110,90,140,230,719
3/1/2010,6,54,180,108,72,54,23,541,80,80,130,210,970
3/1/2010,8,94,325,163,162,69,45,1059,100,130,150,280,719
3/1/2010,9,-4,125,73,52,77,47,421,20,40,70,110,970
3/1/2010,10,31,134,77,57,46,18,323,40,40,70,110,720
3/1/2010,11,16,129,71,58,55,22,325,20,40,70,110,970
3/1/2010,12,32,135,73,62,41,19,952,30,50,60,110,303
3/1/2010,2,119,367,213,154,94,50,829,140,160,220,380,217
3/1/2010,3,102,267,158,109,56,34,585,120,110,170,280,630
3/1/2010,5,211,567,324,243,113,80,1260,260,280,380,660,312
3/1/2010,6,148,478,239,239,91,66,1417,200,270,290,560,773
3/1/2010,8,91,213,126,87,35,24,756,90,70,110,180,224
3/1/2010,9,70,193,109,84,39,27,603,60,70,90,160,630
3/1/2010,10,102,234,139,95,37,26,799,100,80,120,200,773
3/1/2010,11,84,198,117,81,33,22,441,80,60,110,170,815
3/1/2010,12,53,180,108,72,55,23,541,40,60,90,150,773
3/1/2010,1,10,45,27,18,17,5,816,20,10,30,40,712
3/1/2010,2,6,63,35,28,29,8,958,20,20,40,60,641
3/1/2010,3,12,54,31,23,19,7,617,20,20,30,50,563
3/1/2010,5,9,41,25,16,16,4,772,20,10,30,40,712
3/1/2010,6,32,43,43,0,11,0,731,40,0,50,50,563
3/1/2010,8,212,567,324,243,112,80,1260,210,200,290,490,641
3/1/2010,9,102,267,158,109,56,34,585,110,90,140,230,319
3/1/2010,11,148,478,239,239,91,66,1417,140,200,220,420,515
3/1/2010,12,175,546,301,245,126,93,1369,160,210,270,480,515
3/1/2010,2,39,189,104,85,65,32,476,40,90,100,190,573
3/1/2010,3,45,163,89,74,44,22,949,60,70,100,170,573
3/1/2010,13,-4,75,42,33,46,12,190,0,20,40,60,573
3/1/2010,5,47,121,72,49,25,13,809,70,50,90,140,573
3/1/2010,6,45,118,70,48,25,13,766,60,50,80,130,660
3/1/2010,8,-6,107,63,44,69,40,251,10,30,60,90,816
3/1/2010,9,-32,106,18,88,50,27,715,-10,70,20,90,636
3/1/2010,11,11,85,49,36,38,11,187,10,30,40,70,417
3/1/2010,12,-3,75,42,33,45,12,162,0,20,40,60,417
3/1/2010,1,32,134,77,57,45,18,323,50,60,80,140,937
3/1/2010,2,35,121,72,49,37,15,351,40,50,70,120,740
3/1/2010,3,-4,125,73,52,77,47,421,20,50,80,130,513
3/1/2010,11,68,210,126,84,58,27,632,60,70,110,180,513
3/1/2010,12,74,214,125,89,51,27,481,70,70,110,180,513
3/1/2010,6,15,129,71,58,56,22,325,40,60,90,150,234
3/1/2010,5,94,325,163,162,69,45,1059,130,180,200,380,513
3/1/2010,8,15,53,32,21,17,5,449,30,10,30,40,234
3/1/2010,9,28,79,47,32,19,8,813,40,20,40,60,740
3/1/2010,1,13,120,66,54,53,20,301,30,50,70,120,262
3/1/2010,2,17,227,132,95,115,86,532,30,100,130,230,262
3/1/2010,3,55,188,108,80,53,26,415,70,80,110,190,414
3/1/2010,11,38,129,77,52,39,16,376,40,40,70,110,414
3/1/2010,12,1,150,87,63,86,57,506,10,50,80,130,920
3/1/2010,6,34,112,63,49,29,16,611,60,50,80,130,715
3/1/2010,5,41,155,84,71,43,22,950,60,80,100,180,715
3/1/2010,8,63,167,105,62,42,19,346,70,50,90,140,262
3/1/2010,9,47,121,72,49,25,13,767,50,40,60,100,715
3/1/2010,11,47,121,72,49,25,13,809,60,50,80,130,959
3/1/2010,13,18,62,37,25,19,7,769,30,20,40,60,860
3/1/2010,6,26,124,71,53,45,17,299,40,50,70,120,860
3/1/2010,5,0,150,87,63,87,57,506,10,60,80,140,860
3/1/2010,2,114,309,186,123,72,40,932,130,110,180,290,475
